24
Feature_ID,AvgMisorientations,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,Centroids_0,Centroids_1,Centroids_2,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,Sphericity,SurfaceAreaVolumeRatio,SurfaceFeatures,Volumes,surace
1,47.860462,-0.033262137,-0.32480004,0.94519061,0.0036453072,107.46883,0.5,277.802,6.1849895,0.66519386,3.2475014,3,1,0.032239445,150,1,1861,0.06501881
2,31.881792,0.80799019,0.44189081,0.021778187,0.38911441,212.01271,0.5,164.9127,3.5861435,2.3409302,2.5852215,6,1,0.018457696,262,1,2990,0.064214043
3,49.656666,-0.66626394,0.30918345,0.22198343,0.64126533,56.155548,0.5,37.337261,5.5154505,1.6498829,0.10122687,3,1,0.024423821,198,1,8695,0.019666474
4,41.408321,-0.23570038,-0.68646592,-0.5186404,0.45190942,186.91937,0.5,39.838387,2.094101,1.6244022,5.8971763,4,1,0.020755006,233,1,2704,0.070266269
5,37.621658,0.20847912,0.61211789,-0.3496193,0.67794877,247.01271,0.5,279.72153,4.8602548,1.40636,2.3751905,3,1,0.032025937,151,1,4406,0.032001816
6,31.286602,-0.71346229,0.56268185,-0.33273834,0.25228113,196.63829,0.5,87.233505,0.25427961,2.2800648,1.5898602,7,1,0.02121016,228,1,2379,0.072719634
7,35.685619,0.44713369,-0.19042794,-0.093653306,0.86892903,158.27815,0.5,117.33446,2.8463376,1.0150031,3.6515791,5,1,0.024179583,200,1,1190,0.1210084
8,32.017567,0.080140725,0.93361318,0.18752831,0.29457942,164.08075,0.5,284.25803,4.0598645,2.4281483,1.0895307,3,1,0.036915392,131,1,1777,0.058525603
9,45.194515,-0.29448566,0.22630112,0.92775267,0.036619451,142.42513,0.5,35.594475,4.0966268,0.76102132,5.407052,5,1,0.020844467,232,1,3673,0.052545603
10,38.977634,0.65910506,0.55998659,0.022276983,0.50149703,126.45698,0.5,97.383476,3.8014722,2.0897927,2.3929293,5,1,0.017271131,280,1,3347,0.060950104
11,41.554668,-0.14080568,-0.052467715,0.86610979,0.47673342,270.32101,0.5,181.46834,5.5722494,0.30166948,4.8588758,3,1,0.019421352,249,1,5464,0.030746706
12,50.475288,-0.49415886,-0.58769864,-0.024373928,0.64017439,243.6319,0.5,17.600771,0.90970153,1.7509342,5.449595,2,1,0.027792623,174,1,3374,0.038233552
13,28.392872,-0.67305291,0.6006428,-0.39272213,0.17887802,200.70111,0.5,124.12011,0.41478363,2.249191,1.8720014,5,1,0.024673043,196,1,1432,0.10055866
14,41.251751,0.19527423,-0.76206696,-0.34052506,0.51494139,35.011978,0.5,206.45035,2.4059122,1.8108513,5.0458136,3,1,0.0192666,251,1,6344,0.030422447
15,45.827034,0.74265444,0.63631952,-0.20358661,0.045981422,235.02367,0.5,232.7664,5.198698,2.7210717,3.7818203,4,1,0.013976637,346,1,5259,0.052671611
16,46.298866,-0.11230725,0.029615335,-0.83320695,0.54062581,135.30789,0.5,258.34229,0.73740053,0.23281828,1.2530603,4,1,0.022492634,215,1,1192,0.125
17,34.248638,0.056758706,-0.40983534,-0.75458598,0.50932652,263.68326,0.5,45.929218,2.6854765,0.85313207,5.551837,4,1,0.023028174,210,1,2423,0.07304994
18,42.628529,-0.49271944,-0.40900195,0.22018765,0.73584127,110.40028,0.5,208.53569,0.40206894,1.3899218,5.2996111,7,1,0.015303534,316,1,4342,0.046982959
19,35.712868,-0.19658478,-0.32989636,0.36284688,0.84903765,157.79227,0.5,163.95361,0.62952822,0.7883088,4.8459172,7,1,0.016448695,294,1,3514,0.060614683
20,45.325867,0.33718401,-0.51111639,0.70849228,0.35086423,48.368416,0.5,271.48367,1.0429863,1.3179777,3.0182495,3,1,0.023475323,206,1,4841,0.030159058
21,36.676418,-0.52150667,-0.008188257,0.80639315,0.27873614,267.82397,0.5,76.384796,5.0608902,1.0973823,5.0294905,3,1,0.025056561,193,1,2170,0.076958522
22,34.614422,0.77223009,0.38259405,-0.50705695,0.013257831,258.93073,0.5,112.71261,5.1462417,2.077657,4.2262549,5,1,0.0192666,251,1,3457,0.054382414
23,33.713745,0.027961439,-0.54402679,-0.67727947,0.4945153,167.15445,0.5,231.4399,2.5622694,1.1521698,5.6011581,7,1,0.018743863,258,1,3111,0.068788171
24,42.600395,0.13486676,0.59883267,0.65729547,0.43723336,57.770115,0.5,125.62273,3.5070596,1.3218108,0.80850714,5,1,0.012463703,388,1,10055,0.030034808
